Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,2253.333252,2276.666748,2253.333252,2276.666748,2094.753662,2700
2017-05-31,2253.333252,2296.666748,2253.333252,2296.666748,2113.155518,7500
2017-06-01,2296.666748,2320.000000,2276.666748,2316.666748,2131.557617,9300
2017-06-02,2326.666748,2326.666748,2283.333252,2286.666748,2103.954834,15000
2017-06-05,2290.000000,2320.000000,2286.666748,2320.000000,2134.624756,17400
2017-06-06,2320.000000,2346.666748,2306.666748,2340.000000,2153.026611,35700
2017-06-07,2323.333252,2386.666748,2323.333252,2360.000000,2171.428223,27000
2017-06-08,2340.000000,2356.666748,2323.333252,2346.666748,2159.160400,8100
2017-06-09,2346.666748,2346.666748,2326.666748,2333.333252,2146.892090,2700
2017-06-12,2313.333252,2326.666748,2310.000000,2323.333252,2137.691406,6900
2017-06-13,2320.000000,2333.333252,2313.333252,2313.333252,2128.490479,7200
2017-06-14,2313.333252,2313.333252,2266.666748,2270.000000,2088.619629,12600
2017-06-15,2273.333252,2283.333252,2200.000000,2226.666748,2048.748779,24600
2017-06-16,2260.000000,2260.000000,2230.000000,2256.666748,2076.351807,17100
2017-06-19,2246.666748,2300.000000,2246.666748,2296.666748,2113.155518,7500
2017-06-20,2320.000000,2323.333252,2263.333252,2266.666748,2085.552734,15000
2017-06-21,2250.000000,2330.000000,2250.000000,2330.000000,2143.825684,16800
2017-06-22,2330.000000,2346.666748,2310.000000,2310.000000,2125.423340,11400
2017-06-23,2326.666748,2386.666748,2320.000000,2320.000000,2134.624756,29100
2017-06-26,2343.333252,2480.000000,2343.333252,2443.333252,2248.103027,48600
2017-06-27,2446.666748,2523.333252,2443.333252,2483.333252,2284.906982,30000
2017-06-28,2466.666748,2520.000000,2466.666748,2483.333252,2284.906982,12300
2017-06-29,2500.000000,2616.666748,2500.000000,2600.000000,2392.251709,30600
2017-06-30,2546.666748,2630.000000,2536.666748,2616.666748,2407.586670,16500
2017-07-03,2626.666748,2750.000000,2626.666748,2680.000000,2465.859375,33600
2017-07-04,2733.333252,2736.666748,2593.333252,2613.333252,2404.519287,21600
2017-07-05,2590.000000,2653.333252,2463.333252,2630.000000,2419.854736,29100
2017-07-06,2616.666748,2653.333252,2586.666748,2636.666748,2425.988281,14100
2017-07-07,2586.666748,2696.666748,2583.333252,2696.666748,2481.194336,24000
2017-07-10,2716.666748,2736.666748,2653.333252,2666.666748,2453.591797,25200
2017-07-11,2666.666748,2666.666748,2606.666748,2653.333252,2441.323486,14100
2017-07-12,2623.333252,2666.666748,2623.333252,2666.666748,2453.591797,17700
2017-07-13,2666.666748,2673.333252,2630.000000,2660.000000,2447.457275,6600
2017-07-14,2646.666748,2683.333252,2646.666748,2653.333252,2441.323486,12900
2017-07-17,2653.333252,2653.333252,2653.333252,2653.333252,2441.323486,0
2017-07-18,2653.333252,2686.666748,2626.666748,2650.000000,2438.256348,15300
2017-07-19,2660.000000,2660.000000,2630.000000,2650.000000,2438.256348,12600
2017-07-20,2670.000000,2783.333252,2670.000000,2703.333252,2487.328369,65100
2017-07-21,2673.333252,2733.333252,2653.333252,2733.333252,2514.931152,13800
2017-07-24,2700.000000,2813.333252,2700.000000,2806.666748,2582.405029,28800
2017-07-25,2826.666748,2866.666748,2780.000000,2866.666748,2637.611084,31800
2017-07-26,2846.666748,2900.000000,2826.666748,2880.000000,2649.878418,25800
2017-07-27,2900.000000,2930.000000,2866.666748,2906.666748,2674.414551,10800
2017-07-28,2840.000000,2900.000000,2756.666748,2776.666748,2554.802002,32400
2017-07-31,2876.666748,2876.666748,2756.666748,2796.666748,2573.204102,67500
2017-08-01,2846.666748,3250.000000,2810.000000,2986.666748,2748.022217,100500
2017-08-02,3086.666748,3210.000000,3023.333252,3156.666748,2904.438965,64500
2017-08-03,3086.666748,3120.000000,3053.333252,3096.666748,2849.233154,16200
2017-08-04,3230.000000,3526.666748,3136.666748,3156.666748,2904.438965,111900
2017-08-07,3110.000000,3203.333252,3106.666748,3113.333252,2864.568115,40800
2017-08-08,3160.000000,3166.666748,3120.000000,3150.000000,2898.304688,23400
2017-08-09,3150.000000,3226.666748,3116.666748,3170.000000,2916.706787,29400
2017-08-10,3203.333252,3230.000000,3136.666748,3220.000000,2962.711670,21000
2017-08-11,3220.000000,3220.000000,3220.000000,3220.000000,2962.711670,0
2017-08-14,3163.333252,3193.333252,3140.000000,3193.333252,2938.175781,30000
