Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,666.666687,715.000000,633.333313,680.000000,562.626587,6696000
2000-12-11,675.000000,680.000000,580.000000,580.000000,479.887451,1272000
2000-12-12,575.000000,621.666687,571.666687,591.666687,489.540344,1068000
2000-12-13,586.666687,608.333313,541.666687,566.666687,468.855591,552000
2000-12-14,561.666687,563.333313,541.666687,558.333313,461.960663,330000
2000-12-15,551.666687,558.333313,500.000000,520.000000,430.243896,426000
2000-12-18,516.666687,526.666687,513.333313,526.666687,435.759888,246000
2000-12-19,525.000000,526.666687,516.666687,521.666687,431.622925,270000
2000-12-20,521.666687,521.666687,503.333344,510.000000,421.969940,234000
2000-12-21,500.000000,503.333344,483.333344,483.333344,399.906158,324000
2000-12-22,481.666656,483.333344,475.000000,480.000000,397.148163,252000
2000-12-25,480.000000,496.666656,475.000000,488.333344,404.043182,402000
2000-12-26,488.333344,536.666687,483.333344,533.333313,441.275818,480000
2000-12-27,533.333313,616.666687,533.333313,600.000000,496.435181,642000
2000-12-28,600.000000,650.000000,600.000000,625.000000,517.119995,552000
2000-12-29,641.666687,650.000000,630.000000,645.000000,533.667908,288000
2001-01-01,645.000000,645.000000,645.000000,645.000000,533.667908,0
2001-01-02,645.000000,645.000000,645.000000,645.000000,533.667908,0
2001-01-03,645.000000,645.000000,645.000000,645.000000,533.667908,0
2001-01-04,648.333313,655.000000,600.000000,600.000000,496.435181,234000
2001-01-05,608.333313,608.333313,583.333313,596.666687,493.677185,126000
2001-01-08,596.666687,596.666687,596.666687,596.666687,493.677185,0
2001-01-09,583.333313,583.333313,570.000000,575.000000,475.750458,84000
2001-01-10,566.666687,575.000000,530.000000,548.333313,453.686584,210000
2001-01-11,550.000000,551.666687,483.333344,500.000000,413.696045,228000
2001-01-12,500.000000,516.666687,450.000000,500.000000,413.696045,258000
2001-01-15,500.000000,528.333313,491.666656,528.333313,437.138794,108000
2001-01-16,533.333313,550.000000,526.666687,550.000000,455.065643,180000
2001-01-17,558.333313,591.666687,558.333313,566.666687,468.855591,168000
2001-01-18,575.000000,608.333313,575.000000,591.666687,489.540344,276000
2001-01-19,600.000000,625.000000,583.333313,596.666687,493.677185,270000
2001-01-22,583.333313,591.666687,570.000000,586.666687,485.403412,222000
2001-01-23,580.000000,586.666687,571.666687,583.333313,482.645355,162000
2001-01-24,591.666687,641.666687,586.666687,625.000000,517.119995,624000
2001-01-25,633.333313,696.666687,633.333313,693.333313,573.658508,1206000
2001-01-26,700.000000,733.333313,683.333313,716.666687,592.964417,1476000
2001-01-29,725.000000,725.000000,698.333313,708.333313,586.069336,414000
2001-01-30,708.333313,733.333313,703.333313,730.000000,603.996277,744000
2001-01-31,735.000000,813.333313,730.000000,791.666687,655.018860,4320000
2001-02-01,793.333313,825.000000,741.666687,816.666687,675.703674,3396000
2001-02-02,825.000000,841.666687,816.666687,833.333313,689.493408,1812000
2001-02-05,825.000000,826.666687,800.000000,823.333313,681.219604,804000
2001-02-06,818.333313,878.333313,816.666687,863.333313,714.315125,1554000
2001-02-07,866.666687,901.666687,858.333313,891.666687,737.757996,1554000
2001-02-08,888.333313,895.000000,823.333313,833.333313,689.493408,684000
