Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,11750.000000,11790.000000,11670.000000,11700.000000,11554.039063,38000
2017-08-21,11660.000000,11740.000000,11620.000000,11660.000000,11514.538086,20800
2017-08-22,11640.000000,11670.000000,11520.000000,11530.000000,11386.160156,18800
2017-08-23,11640.000000,11780.000000,11560.000000,11730.000000,11583.665039,20400
2017-08-24,12900.000000,13110.000000,12640.000000,12830.000000,12669.942383,99000
2017-08-25,12800.000000,12880.000000,12620.000000,12660.000000,12502.063477,78000
2017-08-28,12640.000000,12790.000000,12550.000000,12720.000000,12561.314453,69600
2017-08-29,12630.000000,12930.000000,12630.000000,12880.000000,12719.318359,45500
2017-08-30,13000.000000,13060.000000,12820.000000,12950.000000,12788.445313,41200
2017-08-31,13000.000000,13150.000000,12930.000000,13110.000000,12946.450195,46300
2017-09-01,13110.000000,13260.000000,13010.000000,13170.000000,13005.703125,39900
2017-09-04,13100.000000,13260.000000,13090.000000,13170.000000,13005.703125,50000
2017-09-05,13120.000000,13210.000000,12930.000000,12940.000000,12778.570313,35100
2017-09-06,12930.000000,13030.000000,12760.000000,12790.000000,12630.441406,38000
2017-09-07,12930.000000,13050.000000,12880.000000,13020.000000,12857.572266,32900
2017-09-08,12930.000000,13010.000000,12740.000000,12790.000000,12630.441406,37300
2017-09-11,12860.000000,12940.000000,12790.000000,12940.000000,12778.570313,26900
2017-09-12,12910.000000,13040.000000,12750.000000,12930.000000,12768.695313,56700
2017-09-13,12930.000000,13230.000000,12880.000000,13160.000000,12995.825195,50600
2017-09-14,13160.000000,13200.000000,12860.000000,12940.000000,12778.570313,47100
2017-09-15,12800.000000,12960.000000,12790.000000,12910.000000,12748.943359,49300
2017-09-18,12910.000000,12910.000000,12910.000000,12910.000000,12748.943359,0
2017-09-19,12910.000000,12930.000000,12630.000000,12720.000000,12561.314453,61600
2017-09-20,12710.000000,12770.000000,12530.000000,12580.000000,12423.060547,50300
2017-09-21,12580.000000,12670.000000,12500.000000,12590.000000,12432.936523,59100
2017-09-22,12530.000000,12540.000000,12140.000000,12140.000000,11988.550781,84000
2017-09-25,12320.000000,12440.000000,12260.000000,12390.000000,12235.431641,51300
2017-09-26,12330.000000,12340.000000,12070.000000,12180.000000,12028.052734,9340
2017-09-27,12180.000000,12480.000000,12090.000000,12390.000000,12238.445313,43400
2017-09-28,12320.000000,12350.000000,12180.000000,12350.000000,12198.936523,41800
2017-09-29,12230.000000,12500.000000,12230.000000,12490.000000,12337.222656,43200
2017-10-02,12610.000000,12790.000000,12580.000000,12760.000000,12603.920898,51100
2017-10-03,12700.000000,12700.000000,12490.000000,12520.000000,12366.856445,34100
2017-10-04,12420.000000,12480.000000,12280.000000,12450.000000,12297.711914,32600
2017-10-05,12200.000000,12490.000000,12200.000000,12430.000000,12277.957031,34700
2017-10-06,12500.000000,12520.000000,12350.000000,12400.000000,12248.322266,14800
2017-10-09,12400.000000,12400.000000,12400.000000,12400.000000,12248.322266,0
2017-10-10,12600.000000,12720.000000,12460.000000,12720.000000,12564.408203,27800
2017-10-11,12660.000000,12720.000000,12530.000000,12720.000000,12564.408203,23200
2017-10-12,12730.000000,12850.000000,12710.000000,12770.000000,12613.797852,36800
2017-10-13,12610.000000,12880.000000,12610.000000,12860.000000,12702.698242,37400
2017-10-16,12790.000000,12870.000000,12680.000000,12750.000000,12594.040039,34300
2017-10-17,12880.000000,12880.000000,12630.000000,12790.000000,12633.553711,36300
2017-10-18,12870.000000,12920.000000,12630.000000,12680.000000,12524.898438,25900
2017-10-19,12740.000000,12770.000000,12520.000000,12590.000000,12436.000000,23500
2017-10-20,12450.000000,12610.000000,12400.000000,12550.000000,12396.488281,28400
