Score,Scored by,Popularity Rank,Rating Rank,Members,Date
8.53,"456,963",37,922,"786,898",Wed Dec 19 2018 02:43:25 GMT-0500 (Eastern Standard Time)
8.53,"457,207",36,922,"787,411",Thu Dec 20 2018 14:35:22 GMT-0500 (Eastern Standard Time)
8.53,"457,434",36,922,"787,834",Fri Dec 21 2018 18:50:52 GMT-0500 (Eastern Standard Time)
8.53,"458,087",36,922,"789,068",Tue Dec 25 2018 11:59:37 GMT-0500 (Eastern Standard Time)
8.53,"458,129",36,922,"789,165",Tue Dec 25 2018 18:44:02 GMT-0500 (Eastern Standard Time)
8.53,"458,214",37,922,"789,311",Wed Dec 26 2018 02:55:01 GMT-0500 (Eastern Standard Time)
8.53,"458,274",36,922,"789,473",Wed Dec 26 2018 14:59:57 GMT-0500 (Eastern Standard Time)
8.53,"458,274",36,922,"789,473",Wed Dec 26 2018 15:11:18 GMT-0500 (Eastern Standard Time)
8.53,"458,444",36,922,"789,808",Thu Dec 27 2018 04:34:58 GMT-0500 (Eastern Standard Time)
8.53,"458,901",36,922,"790,854",Sat Dec 29 2018 18:59:19 GMT-0500 (Eastern Standard Time)
8.53,"459,334",36,922,"791,741",Mon Dec 31 2018 20:36:33 GMT-0500 (Eastern Standard Time)
8.53,"459,663",36,922,"792,352",Wed Jan 02 2019 04:14:22 GMT-0500 (Eastern Standard Time)
8.53,"460,116",36,912,"793,162",Thu Jan 03 2019 21:12:47 GMT-0500 (Eastern Standard Time)
8.53,"460,137",36,912,"793,188",Thu Jan 03 2019 21:51:21 GMT-0500 (Eastern Standard Time)
8.53,"460,149",36,912,"793,218",Thu Jan 03 2019 22:28:19 GMT-0500 (Eastern Standard Time)
8.53,"460,241",36,912,"793,395",Fri Jan 04 2019 04:46:25 GMT-0500 (Eastern Standard Time)
8.53,"460,604",36,912,"794,082",Sat Jan 05 2019 13:20:53 GMT-0500 (Eastern Standard Time)
8.53,"460,680",36,912,"794,219",Sat Jan 05 2019 19:43:33 GMT-0500 (Eastern Standard Time)
8.53,"460,730",36,912,"794,269",Sat Jan 05 2019 22:31:03 GMT-0500 (Eastern Standard Time)
8.53,"461,538",36,932,"795,923",Wed Jan 09 2019 04:28:28 GMT-0500 (Eastern Standard Time)
8.53,"463,201",36,942,"799,215",Wed Jan 16 2019 05:05:00 GMT-0500 (Eastern Standard Time)
8.53,"464,939",36,952,"802,746",Wed Jan 23 2019 23:13:10 GMT-0500 (Eastern Standard Time)
8.53,"465,039",36,952,"802,936",Thu Jan 24 2019 11:15:33 GMT-0500 (Eastern Standard Time)
8.53,"465,220",35,952,"803,356",Fri Jan 25 2019 07:10:52 GMT-0500 (Eastern Standard Time)
8.53,"465,823",35,942,"804,669",Mon Jan 28 2019 04:45:22 GMT-0500 (Eastern Standard Time)
8.53,"465,957",35,942,"805,009",Mon Jan 28 2019 22:04:56 GMT-0500 (Eastern Standard Time)
8.53,"468,928",35,932,"811,148",Tue Feb 12 2019 21:47:22 GMT-0500 (Eastern Standard Time)
8.53,"469,504",35,942,"812,253",Sat Feb 16 2019 02:26:26 GMT-0500 (Eastern Standard Time)
8.53,"470,255",34,932,"813,920",Wed Feb 20 2019 02:29:46 GMT-0500 (Eastern Standard Time)
8.53,"471,157",34,942,"815,777",Sun Feb 24 2019 22:02:18 GMT-0500 (Eastern Standard Time)
8.53,"471,373",34,942,"816,183",Mon Feb 25 2019 22:45:37 GMT-0500 (Eastern Standard Time)
8.53,"471,373",34,942,"816,183",Mon Feb 25 2019 22:45:40 GMT-0500 (Eastern Standard Time)
8.53,"471,431",34,942,"816,313",Tue Feb 26 2019 04:38:57 GMT-0500 (Eastern Standard Time)
8.53,"471,540",34,942,"816,560",Tue Feb 26 2019 20:22:49 GMT-0500 (Eastern Standard Time)
8.44,"460,853",34,942,"816,582",Tue Feb 26 2019 21:36:27 GMT-0500 (Eastern Standard Time)
8.53,"471,586",34,942,"816,655",Wed Feb 27 2019 00:49:10 GMT-0500 (Eastern Standard Time)
8.53,"471,586",34,942,"816,695",Wed Feb 27 2019 02:07:24 GMT-0500 (Eastern Standard Time)
8.54,"475,151",34,942,"816,711",Wed Feb 27 2019 03:03:40 GMT-0500 (Eastern Standard Time)
8.53,"471,767",34,942,"817,075",Thu Feb 28 2019 02:12:28 GMT-0500 (Eastern Standard Time)
8.53,"472,034",34,942,"817,615",Fri Mar 01 2019 15:50:49 GMT-0500 (Eastern Standard Time)
8.53,"472,316",34,932,"818,195",Sun Mar 03 2019 02:57:24 GMT-0500 (Eastern Standard Time)
8.53,"472,421",34,932,"818,492",Sun Mar 03 2019 18:56:50 GMT-0500 (Eastern Standard Time)
8.53,"472,500",34,932,"818,639",Mon Mar 04 2019 01:39:59 GMT-0500 (Eastern Standard Time)
8.53,"472,896",34,932,"819,448",Wed Mar 06 2019 03:35:57 GMT-0500 (Eastern Standard Time)
8.53,"473,094",34,932,"819,996",Thu Mar 07 2019 03:10:01 GMT-0500 (Eastern Standard Time)
8.53,"473,561",34,932,"821,244",Sat Mar 09 2019 01:42:47 GMT-0500 (Eastern Standard Time)
